GeneID,150-1,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
ZNF34,0,0,0,0,0,2,0,0,0
ZNF33BP1,0,0,0,0,0,0,0,0,0
ZNF33B,1,0,0,5,19,31,30,21,15
ZNF33A,0,0,2,1,4,18,0,1,6
ZNF337-AS1,60,57,22,157,224,244,177,206,156
ZNF337,16,18,10,75,74,80,81,72,159
ZNF335,6,0,1,37,31,29,42,23,12
ZNF334,0,0,0,0,0,0,0,0,0
ZNF333,0,0,1,0,2,0,0,6,0
ZNF331,1,0,0,0,1,8,2,0,0
ZNF330,2,2,0,16,4,21,15,8,1
ZNF329,0,2,4,6,10,10,0,0,10
ZNF326,0,0,0,0,0,10,4,0,0
ZNF324B,0,0,0,0,0,0,0,0,0
ZNF324,8,6,14,80,158,134,287,135,160
ZNF322,0,0,0,0,6,8,0,0,6
ZNF321P,0,0,0,0,0,0,0,0,0
ZNF320,0,0,0,8,8,61,2,13,17
ZNF32-AS3,0,0,0,0,0,0,0,0,0
ZNF32-AS2,21,23,13,168,291,268,300,183,187
ZNF32-AS1,39,47,39,226,400,387,468,306,406
ZNF32,0,0,0,0,6,28,11,39,8
ZNF319,0,0,2,0,0,4,2,0,0
ZNF318,0,1,0,12,4,26,14,18,8
ZNF317,0,0,2,2,0,32,10,5,10
ZNF316,0,0,2,0,0,12,2,2,0
ZNF311,0,0,0,0,0,0,0,0,0
ZNF304,2,0,0,2,4,11,0,2,2
ZNF302,0,9,0,2,5,6,19,6,5
ZNF300P1,0,0,0,0,0,0,0,0,0
ZNF300,0,0,0,0,12,17,15,12,0
ZNF30-AS1,0,0,0,0,0,0,0,0,0
ZNF30,2,0,0,0,0,14,8,0,2
ZNF3,31,51,37,310,510,472,425,453,379
ZNF296,0,0,0,0,0,8,45,16,15
ZNF295-AS1,0,5,0,6,16,4,21,12,0
ZNF292,0,0,0,0,6,17,8,8,8
ZNF287,0,0,0,22,10,3,0,8,0
ZNF286B,0,0,0,0,0,0,0,0,0
ZNF286A,0,2,0,3,0,8,2,0,6
ZNF285,0,0,0,0,8,0,2,0,0
ZNF284,0,0,0,2,0,17,0,0,0
ZNF283,0,4,0,2,6,2,1,0,0
ZNF282,0,0,0,0,0,10,4,0,2
ZNF281,0,0,0,0,4,12,2,0,2
ZNF280D,0,0,0,69,32,58,18,40,36
ZNF280C,0,0,0,0,0,2,0,0,2
ZNF280B,0,0,0,0,0,0,0,0,0
ZNF280A,0,0,0,0,0,0,0,0,0
ZNF28,11,4,15,100,98,145,138,140,140
ZNF277,0,0,0,0,12,52,16,10,28
ZNF276,31,48,35,149,241,266,255,300,260
ZNF275,0,0,0,0,0,2,0,0,0
ZNF274,1,0,0,0,0,0,0,0,0
ZNF273,6,4,0,0,4,10,0,2,2
ZNF271P,0,0,0,0,0,0,0,0,2
ZNF268,0,0,0,0,0,2,0,0,0
ZNF267,0,0,0,0,4,30,7,9,7
ZNF266,2,0,0,2,10,26,2,4,1
