GeneID,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
AOPEP,0.0,0.0,0.6896896896896897,0.0,0.0,0.0,0.7647647647647647,0.0
AOC4P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC1,0.0,0.0,0.8048048048048049,0.6936936936936937,0.7257257257257257,0.8173173173173174,0.8738738738738738,0.6746746746746747
AOAH-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA9,0.8918918918918919,0.9079079079079079,0.8448448448448449,0.9529529529529529,0.8593593593593594,0.9344380613766305,0.9469469469469469,0.9369369369369369
ANXA8L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA7,0.8918918918918919,0.8613613613613613,0.9079079079079079,0.887887887887888,0.8468468468468469,0.8908908908908909,0.7022022022022022,0.6196196196196196
ANXA6,0.0,0.0,0.0,0.0,0.562062062062062,0.6576576576576576,0.7202202202202201,0.0
ANXA5,0.8918918918918919,0.8613613613613613,0.7587587587587588,0.7572572572572573,0.8243243243243243,0.0,0.0,0.0
ANXA4,0.9589589589589589,0.8613613613613613,0.9289289289289289,0.948948948948949,0.9666368185764697,0.9469469469469469,0.8978978978978979,0.9159159159159159
ANXA3,0.0,0.0,0.7587587587587588,0.7917917917917918,0.8783783783783783,0.8548548548548549,0.8218218218218218,0.7807807807807807
ANXA2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA2P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA2P2,0.980980980980981,0.9654654654654655,0.948948948948949,0.9679679679679679,0.9721220175155476,0.9567346496716214,0.943943943943944,0.9479479479479479
ANXA2P1,0.7892892892892893,0.8183183183183182,0.7587587587587588,0.8843843843843844,0.8433433433433433,0.8793793793793794,0.8218218218218218,0.8228228228228228
ANXA2,0.9639639639639639,0.9654654654654655,0.9354354354354355,0.948948948948949,0.9625661412507746,0.9479479479479479,0.8813813813813813,0.9259259259259259
ANXA13,0.8918918918918919,0.9489489489489489,0.6896896896896897,0.7287287287287287,0.8433433433433433,0.8763763763763763,0.7022022022022022,0.7807807807807807
ANXA11,0.8353353353353354,0.0,0.9329329329329329,0.7797797797797799,0.8243243243243243,0.8588588588588588,0.7647647647647647,0.8568568568568569
ANXA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA1,0.0,0.8903903903903905,0.882882882882883,0.9179179179179179,0.9529529529529529,0.9189189189189189,0.8873873873873874,0.9244244244244244
ANTXRLP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTXRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTXR2,0.9109109109109108,0.8613613613613613,0.8518518518518519,0.8008008008008007,0.8783783783783783,0.8993993993993994,0.7647647647647647,0.8138138138138138
ANTXR1,0.0,0.8613613613613613,0.8048048048048049,0.0,0.7257257257257257,0.0,0.7022022022022022,0.7667667667667668
ANTKMT,0.0,0.8613613613613613,0.7847847847847849,0.7797797797797799,0.8323323323323324,0.7702702702702703,0.7647647647647647,0.7532532532532532
ANPEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANP32E,0.0,0.0,0.6666666666666666,0.6936936936936937,0.8503503503503503,0.8243243243243243,0.7647647647647647,0.6971971971971972
ANP32D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANP32C,0.0,0.8613613613613613,0.0,0.0,0.6191191191191192,0.6771771771771772,0.0,0.6746746746746747
ANP32B,0.0,0.0,0.7097097097097097,0.0,0.7497497497497497,0.5940940940940941,0.6391391391391391,0.0
ANP32AP1,0.0,0.0,0.0,0.7442442442442443,0.6841841841841843,0.6381381381381381,0.0,0.0
ANP32A-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196196196196196
ANP32A,0.0,0.0,0.7272272272272272,0.8008008008008007,0.8908908908908909,0.8033033033033032,0.7022022022022022,0.8228228228228228
ANOS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
