,5-AZA_150-1,5-AZA_150-2,5-AZA_150-3,5-AZA_33-1,5-AZA_33-2,5-AZA_33-3,5-AZA_con-1,5-AZA_con-2,5-AZA_con-3
MIR3684,0,0,0,0,0,0,0,6,0
MIR3685,0,0,0,0,0,0,0,0,0
MIR3686,0,0,0,0,0,0,0,0,0
MIR3688-1,0,0,0,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0,0,0,0
MIR3689A,0,0,0,0,0,0,0,0,0
MIR3689B,0,0,0,0,0,0,0,0,0
MIR3689C,0,0,0,0,0,0,0,0,0
MIR3689D1,0,0,0,0,0,0,0,0,0
MIR3689D2,0,0,0,0,0,0,0,0,0
MIR3689E,0,0,0,0,0,0,0,0,0
MIR3689F,0,0,0,0,0,0,2,0,0
MIR369,0,0,0,0,0,0,0,0,0
MIR3690,0,0,0,0,0,0,0,0,0
MIR3691,0,0,0,0,0,0,0,0,0
MIR3692,5,8,3,27,30,70,24,43,27
MIR370,0,0,0,0,0,1,0,0,0
MIR3713,0,0,0,0,0,2,0,0,4
MIR3714,0,0,0,0,0,0,0,0,0
MIR371A,0,0,0,0,0,0,0,0,0
MIR371B,0,0,0,0,0,0,0,0,0
MIR372,0,0,0,0,0,0,0,0,0
MIR373,0,0,0,0,0,0,0,0,0
MIR374A,0,0,0,4,0,0,0,8,2
MIR374B,0,0,0,0,0,0,0,0,0
MIR374C,0,0,0,0,0,0,0,0,0
MIR375,0,0,0,0,0,0,0,0,0
MIR376A1,0,0,0,0,0,0,0,0,0
MIR376A2,0,0,0,0,0,0,0,0,0
MIR376B,0,0,0,0,0,0,0,0,0
MIR376C,0,0,0,0,0,0,0,0,0
MIR377,0,0,0,0,0,0,0,0,0
MIR378A,0,0,0,0,0,0,0,0,0
MIR378B,0,1,0,3,0,8,0,0,0
MIR378C,0,0,0,0,0,0,0,0,0
MIR378D1,0,0,0,0,0,0,0,0,0
MIR378D2,0,1,2,0,0,6,10,0,0
MIR378E,0,0,0,0,0,0,0,0,0
MIR378F,0,0,0,0,1,0,0,0,0
MIR378G,0,0,0,0,0,0,0,0,0
MIR378H,0,0,0,0,0,0,0,0,0
MIR378I,33,37,11,252,176,176,217,227,146
MIR378J,0,0,0,0,0,0,0,0,0
MIR379,0,0,0,0,0,0,0,0,0
MIR380,0,0,0,0,0,0,0,0,0
MIR381,0,0,0,0,0,0,0,0,0
MIR381HG,0,0,0,0,0,0,0,0,0
MIR382,0,0,0,0,0,0,0,0,0
MIR383,0,0,0,0,0,0,0,0,0
MIR384,0,0,0,5,0,15,6,13,12
MIR3907,0,0,0,0,0,0,0,0,0
MIR3908,0,0,0,0,0,0,0,0,0
MIR3909,0,0,0,0,0,0,0,0,0
MIR3910-1,0,0,0,0,0,0,0,0,0
MIR3910-2,0,0,0,0,0,0,0,0,0
MIR3911,0,0,0,0,0,4,5,0,0
MIR3912,0,0,0,0,0,0,4,0,0
MIR3913-1,0,0,0,0,0,0,0,0,0
MIR3913-2,0,0,0,0,0,0,0,0,0
MIR3914-1,0,0,0,0,0,0,0,0,0
MIR3914-2,0,0,0,0,0,0,0,0,0
MIR3915,0,0,0,0,0,0,0,0,0
MIR3916,0,0,2,0,4,2,0,6,4
MIR3917,0,0,0,0,0,0,0,0,0
MIR3918,0,0,0,0,0,0,0,0,0
MIR3919,0,0,0,0,0,0,0,0,0
MIR3920,0,0,0,0,0,0,0,0,0
MIR3921,0,0,0,0,0,2,0,3,0
MIR3922,0,0,0,0,0,0,0,0,0
MIR3923,0,0,0,0,0,0,0,0,0
MIR3924,0,0,0,0,0,0,0,0,0
MIR3925,0,0,0,0,0,0,0,0,0
MIR3926-1,0,0,0,0,0,0,0,0,0
MIR3926-2,0,0,0,0,0,0,0,0,0
MIR3927,0,0,0,0,0,0,0,0,0
MIR3928,0,0,0,0,0,0,0,0,0
MIR3929,0,0,0,0,0,0,0,0,0
MIR3934,0,0,0,0,0,0,0,0,0
MIR3935,0,0,0,0,0,0,0,0,0
MIR3936,0,0,0,0,0,0,0,0,0
MIR3936HG,0,0,0,0,0,0,5,18,0
MIR3937,0,0,0,0,0,1,0,0,0
MIR3938,0,0,0,0,0,0,0,0,0
MIR3939,0,0,0,0,0,0,0,0,0
MIR3940,0,0,0,0,0,0,0,0,0
MIR3941,0,0,0,0,0,0,0,0,0
MIR3942,0,0,0,0,0,0,0,0,0
MIR3943,0,0,0,0,0,0,0,0,0
MIR3944,0,0,0,0,0,0,0,0,0
MIR3945,0,0,0,0,0,0,0,0,0
MIR3945HG,0,0,0,0,6,3,0,7,6
MIR3960,0,0,0,0,0,0,0,0,0
MIR3972,0,1,1,0,12,4,4,12,2
MIR3973,0,0,0,0,0,1,0,3,0
MIR3974,0,0,0,0,0,0,0,0,0
MIR3975,0,0,0,0,0,0,0,0,0
MIR3976,0,0,0,0,0,0,0,0,0
MIR3976HG,0,0,0,0,0,0,0,2,0
MIR3977,0,0,0,0,0,0,0,0,0
MIR3978,0,0,0,0,0,0,0,0,0
MIR409,0,0,0,0,0,0,0,0,0
MIR410,0,0,0,0,0,0,0,0,0
MIR411,0,0,0,0,0,0,0,0,0
MIR412,0,0,0,0,0,0,0,0,0
MIR421,0,0,0,0,0,0,0,0,0
MIR422A,1,0,0,5,20,7,4,21,1
MIR423,0,0,0,0,0,0,0,0,0
MIR424,0,0,0,0,0,0,0,0,0
MIR425,1,3,2,3,3,4,0,4,0
MIR4251,4,0,0,0,0,1,0,8,0
MIR4252,0,0,0,0,0,2,0,0,0
MIR4253,0,0,0,0,0,0,0,0,0
MIR4254,0,0,0,0,0,1,23,0,9
MIR4255,0,0,0,0,0,0,0,0,0
MIR4256,0,0,0,0,0,0,0,0,0
MIR4257,49,60,51,218,217,522,344,434,228
MIR4258,5,4,0,23,9,34,27,8,27
MIR4259,0,2,1,17,0,6,2,13,0
MIR4260,0,0,0,0,0,0,0,0,0
MIR4261,8,2,2,24,41,46,55,49,33
MIR4262,0,0,0,0,0,0,0,0,0
MIR4263,6,3,5,24,16,43,34,35,35
MIR4264,0,0,0,0,0,0,0,0,0
MIR4265,0,0,0,0,0,0,0,0,0
MIR4266,0,0,0,0,0,0,0,0,0
MIR4267,0,0,0,0,0,0,0,0,0
MIR4268,0,0,0,0,0,0,0,0,0
MIR4269,0,0,0,0,0,0,4,0,0
MIR4270,0,0,0,0,0,0,0,0,0
MIR4271,0,0,0,0,0,0,0,0,0
MIR4272,0,0,0,0,0,0,0,0,0
MIR4273,0,0,0,0,0,0,0,0,0
MIR4274,0,0,0,0,0,0,0,0,0
MIR4275,0,0,0,0,0,0,0,0,0
MIR4276,0,0,0,0,0,0,0,0,0
MIR4277,0,0,0,0,0,0,0,0,0
MIR4278,0,0,0,0,0,0,0,0,0
MIR4279,0,0,0,0,0,0,0,0,0
MIR4280,0,0,0,0,0,0,0,0,0
MIR4281,1,0,0,0,0,0,0,0,0
MIR4282,0,0,0,0,0,0,0,0,0
MIR4283-1,0,0,0,0,0,0,0,0,0
MIR4283-2,0,0,0,0,0,0,0,0,0
MIR4284,0,0,0,5,1,0,4,0,10
MIR4285,0,0,0,0,0,0,0,0,0
MIR4286,0,0,0,0,0,2,0,0,0
MIR4287,0,0,0,0,0,0,0,0,0
MIR4288,0,0,0,0,0,0,0,0,0
MIR4289,0,0,0,0,0,0,0,0,0
MIR429,27,30,37,269,252,215,226,262,172
MIR4290,0,0,0,0,0,0,0,0,0
MIR4290HG,0,0,0,0,0,0,0,0,0
MIR4291,0,0,0,0,0,0,0,0,0
MIR4292,0,0,0,0,0,0,0,0,0
MIR4293,0,0,0,0,0,0,0,0,0
MIR4294,0,0,0,0,0,0,0,0,0
MIR4295,0,6,4,18,13,36,39,75,16
MIR4296,0,0,0,0,0,0,0,0,0
MIR4297,2,0,0,0,0,1,0,0,0
MIR4298,1,0,1,0,0,0,0,0,0
MIR4299,0,0,0,0,0,0,0,0,0
MIR4300,0,0,0,0,0,0,0,0,0
MIR4300HG,0,0,0,0,0,0,0,0,0
MIR4301,0,0,0,0,0,0,0,0,0
MIR4302,0,0,0,0,0,0,0,0,0
MIR4303,1,0,0,0,18,36,0,3,7
MIR4304,0,0,3,0,1,8,3,9,4
MIR4305,0,0,0,0,0,0,0,0,0
MIR4306,0,0,0,0,0,2,4,0,3
MIR4307,0,0,0,0,0,0,0,0,0
MIR4307HG,0,0,0,0,0,0,0,0,0
MIR4308,0,1,0,0,8,7,0,2,12
MIR4309,0,0,0,0,0,0,0,0,0
MIR431,0,0,0,0,0,0,0,0,0
MIR4310,0,0,0,0,0,0,0,0,3
MIR4311,0,0,0,0,4,0,0,0,0
MIR4312,0,0,0,0,0,0,0,0,0
MIR4313,6,5,7,26,75,91,122,92,75
MIR4314,0,0,0,0,0,0,0,0,0
MIR4315-1,0,0,0,0,0,0,0,0,0
MIR4315-2,0,0,0,0,0,0,0,0,0
MIR4316,0,0,0,0,0,0,0,0,0
MIR4317,0,0,0,0,0,0,0,0,0
MIR4318,0,0,0,0,0,0,0,0,0
MIR4319,0,0,0,0,0,0,0,0,0
MIR432,0,0,0,0,0,0,0,0,0
MIR4320,0,0,0,0,0,0,0,0,0
MIR4321,0,0,0,0,0,2,0,0,0
MIR4322,0,0,0,0,0,6,0,0,2
MIR4323,0,0,0,0,0,0,0,0,0
MIR4324,0,0,0,0,0,1,0,0,0
MIR4325,0,0,0,0,0,0,0,0,0
MIR4326,0,0,0,0,0,0,0,0,0
MIR4327,0,0,0,0,0,0,5,0,6
MIR4328,0,0,0,0,0,0,0,0,0
MIR4329,0,0,0,0,0,0,0,0,0
MIR433,0,0,0,0,0,0,0,0,0
MIR4330,0,0,0,0,0,0,0,0,0
MIR4418,0,0,0,0,0,0,0,0,0
MIR4420,0,0,0,0,0,0,0,0,0
MIR4421,0,0,0,0,0,0,0,0,10
MIR4422,0,0,0,0,0,0,0,0,0
MIR4422HG,0,0,0,0,0,0,0,0,3
MIR4423,0,0,0,0,0,10,0,0,0
MIR4424,0,0,0,0,0,0,0,0,0
MIR4425,0,0,0,0,0,0,0,0,0
MIR4426,0,0,0,0,0,0,0,0,0
MIR4427,0,0,0,0,0,0,0,0,0
MIR4428,0,0,0,0,0,0,0,0,0
MIR4429,0,0,0,0,0,0,0,0,0
MIR4430,0,0,0,0,0,0,0,0,0
MIR4431,0,0,0,0,0,0,0,0,0
MIR4432,0,0,0,0,0,0,0,0,0
MIR4432HG,0,0,0,0,0,0,0,0,0
MIR4433A,0,0,0,0,0,0,0,0,0
MIR4433B,0,0,0,0,0,0,0,0,0
MIR4434,0,0,0,0,0,0,0,0,0
MIR4435-1,0,0,0,0,0,0,0,0,0
MIR4435-2,0,0,0,0,0,0,0,0,0
MIR4435-2HG,0,0,0,0,0,3,0,2,0
MIR4436A,0,0,0,0,5,0,0,0,0
MIR4436B1,0,0,0,0,0,0,0,0,0
MIR4436B2,0,0,0,0,0,0,0,0,0
MIR4437,0,0,0,0,0,0,0,0,0
MIR4438,0,0,0,0,0,0,0,0,0
MIR4439,1,0,0,8,2,0,4,7,0
MIR4440,0,0,0,0,0,0,0,0,0
MIR4441,0,0,0,0,0,4,1,12,0
MIR4442,0,0,0,0,15,22,1,11,6
MIR4443,0,0,0,0,0,4,0,0,0
MIR4444-1,0,0,0,0,0,0,0,0,0
MIR4444-2,0,0,0,0,0,0,0,0,0
MIR4445,0,0,0,0,0,0,0,0,0
MIR4446,0,0,0,0,0,1,4,0,0
MIR4447,0,0,0,0,0,0,0,0,0
MIR4448,0,1,2,12,0,3,7,19,0
MIR4449,0,0,1,0,0,4,0,0,2
MIR4450,0,0,0,0,0,3,3,0,0
MIR4451,0,1,0,0,0,0,0,0,0
MIR4452,0,0,0,0,0,1,0,0,0
MIR4453,0,0,0,0,0,0,0,0,0
MIR4453HG,0,0,1,4,2,2,1,29,4
MIR4454,0,0,0,0,0,0,11,0,0
MIR4455,0,0,0,0,0,0,0,4,0
MIR4456,0,0,0,0,0,0,0,0,0
MIR4457,0,0,0,0,0,0,0,0,0
MIR4458,0,0,0,0,0,0,0,0,0
MIR4458HG,12,15,19,168,164,178,230,115,213
MIR4460,0,0,0,0,0,0,0,0,0
MIR4462,0,0,0,0,0,0,0,0,0
MIR4463,0,0,0,0,0,0,0,0,0
MIR4464,0,0,0,0,0,0,0,0,0
MIR4465,0,0,0,0,0,0,0,0,0
MIR4466,0,0,0,0,0,0,0,0,0
MIR4467,0,0,0,0,0,0,0,0,0
MIR4468,0,0,0,0,0,0,0,0,0
MIR4469,0,0,0,0,0,0,0,0,0
MIR4470,0,0,0,0,11,2,14,0,16
MIR4471,0,0,0,0,0,0,0,0,0
MIR4472-1,0,1,0,0,0,3,0,3,0
MIR4472-2,0,0,0,0,0,1,0,0,2
MIR4473,2,0,0,0,6,12,6,29,4
MIR4474,0,0,0,0,0,0,0,0,5
MIR4475,0,0,0,0,0,0,0,0,0
MIR4476,0,0,0,0,0,0,0,0,0
MIR4477A,0,0,0,0,0,0,0,0,0
MIR4477B,0,0,0,0,0,0,0,0,0
MIR4478,0,0,0,0,0,0,0,0,0
MIR4479,0,0,0,0,0,0,0,0,0
MIR448,0,0,0,0,0,0,0,0,0
MIR4480,0,0,0,0,0,0,0,0,0
MIR4481,0,0,0,0,0,0,0,0,0
MIR4482,0,0,0,0,0,0,13,0,3
MIR4483,0,0,0,0,0,0,0,0,0
MIR4484,0,0,0,0,0,1,0,0,0
MIR4485,0,0,0,0,0,0,0,0,0
MIR4486,0,0,0,0,0,0,0,0,0
MIR4487,0,0,0,0,0,0,0,0,0
MIR4488,0,0,2,3,0,8,6,12,3
MIR4489,0,0,0,0,0,0,0,0,0
MIR4490,0,0,0,0,0,0,0,0,0
MIR4491,0,0,0,0,0,0,0,0,0
MIR4492,0,0,0,0,0,0,0,0,0
MIR4493,0,0,0,0,0,0,0,0,0
MIR4494,0,0,0,0,0,0,0,0,0
MIR4495,0,0,0,0,0,1,0,0,0
MIR4496,0,0,0,0,0,0,0,0,0
MIR4497,0,0,0,0,0,0,0,0,0
MIR4498,0,0,0,0,0,0,0,0,0
MIR4499,0,0,0,0,4,0,4,0,1
MIR449A,0,0,0,0,0,0,0,0,0
MIR449B,0,0,0,0,0,0,0,0,0
MIR449C,0,0,0,0,0,0,0,0,0
MIR4500,0,0,0,0,0,0,0,0,0
MIR4500HG,0,0,0,0,0,0,0,0,0
MIR4501,0,0,0,0,0,0,0,0,0
MIR4502,0,0,0,0,0,1,0,0,0
MIR4503,0,0,0,0,0,0,0,0,0
MIR4504,2,1,1,10,5,5,14,8,15
MIR4505,0,0,0,0,11,18,4,0,0
MIR4506,0,0,0,0,0,4,0,0,0
MIR4507,0,0,1,0,0,0,2,2,0
MIR4508,0,0,0,0,0,0,0,0,0
MIR4509-1,0,0,0,0,0,0,0,0,0
MIR4509-2,0,0,0,0,0,0,0,0,0
MIR4509-3,0,0,0,0,0,0,0,0,0
MIR450A1,0,0,0,0,0,0,0,0,0
MIR450A2,0,0,0,0,0,0,0,0,0
MIR450B,0,0,0,0,0,0,0,0,0
MIR4510,0,0,0,0,0,0,0,0,0
MIR4511,0,0,0,0,0,0,0,0,0
MIR4512,0,0,0,0,0,0,0,0,0
MIR4513,0,0,0,0,0,2,0,0,1
MIR4514,1,0,4,0,3,7,1,0,0
MIR4515,0,0,0,6,0,0,3,0,8
MIR4516,0,4,0,11,1,3,16,0,6
MIR4517,0,0,0,0,0,0,0,0,0
MIR4518,0,0,0,0,0,0,0,0,0
MIR4519,0,0,0,0,0,0,0,0,0
MIR451A,0,0,0,0,0,0,0,0,0
MIR451B,0,0,0,0,0,0,0,0,0
MIR452,0,0,0,8,3,1,0,0,7
MIR4520-1,0,0,0,0,0,0,0,0,0
MIR4520-2,0,0,0,0,0,0,0,0,0
MIR4521,0,0,0,0,0,0,0,0,0
MIR4522,0,0,0,0,0,0,0,0,0
MIR4523,0,0,0,0,0,0,0,0,0
MIR4524A,0,0,0,0,0,0,0,0,0
MIR4524B,0,0,0,0,0,0,0,0,0
MIR4525,0,0,0,0,0,0,0,0,0
MIR4526,0,0,0,0,0,0,0,0,0
MIR4527,0,0,3,12,3,7,4,8,22
MIR4527HG,0,0,0,3,0,2,3,0,0
MIR4528,0,0,0,0,0,0,0,0,0
MIR4529,0,0,0,0,0,1,0,0,0
MIR4530,0,0,1,12,5,0,0,0,0
MIR4531,0,2,1,6,6,10,16,1,0
MIR4533,0,0,0,0,0,0,0,0,0
MIR4534,0,0,0,0,0,0,0,0,0
MIR4535,0,0,0,0,0,0,0,0,0
MIR4536-1,0,0,0,0,0,0,0,0,0
MIR4536-2,0,0,0,0,0,0,0,0,0
MIR4537,17,15,13,82,101,109,201,112,70
MIR4538,0,2,0,3,4,0,14,8,4
MIR4539,15,32,11,85,101,76,124,109,53
MIR454,0,0,0,0,0,0,0,0,0
MIR4540,0,0,0,0,0,0,0,0,0
MIR455,0,0,0,0,2,8,0,0,0
MIR4632,0,0,0,0,0,0,0,0,0
MIR4633,0,0,0,0,0,0,0,0,0
MIR4634,0,0,0,0,0,0,0,0,0
MIR4635,1,0,0,0,8,0,1,0,0
MIR4636,0,0,0,3,2,7,0,0,0
MIR4637,0,0,0,0,0,11,0,0,0
MIR4638,0,0,0,0,0,0,0,0,0
MIR4639,0,0,0,4,0,5,0,0,0
MIR4640,7,7,0,20,44,46,64,88,35
MIR4641,0,0,0,0,0,0,0,0,0
MIR4642,0,0,0,0,0,0,0,0,0
MIR4643,0,0,0,0,0,0,0,0,0
MIR4644,0,0,0,0,0,0,0,0,0
MIR4645,0,0,0,0,0,0,0,0,0
MIR4646,0,0,0,8,0,11,1,0,2
MIR4647,0,0,0,0,0,0,0,0,0
MIR4648,0,0,0,0,0,0,0,0,0
MIR4649,0,0,0,0,0,0,0,0,0
MIR4650-1,0,0,0,0,0,0,0,0,0
MIR4650-2,0,0,0,0,0,0,0,0,0
MIR4651,0,0,0,0,0,0,0,0,0
MIR4652,0,0,0,0,0,0,0,0,0
MIR4653,0,0,0,0,0,0,0,0,0
MIR4654,0,0,0,0,0,0,0,0,0
MIR4655,0,0,0,0,0,0,0,0,0
MIR4656,0,0,0,1,0,0,0,0,0
MIR4657,0,0,0,0,0,0,0,0,0
MIR4658,0,0,0,0,0,0,0,0,0
MIR4659A,0,0,0,0,0,0,0,0,0
MIR4659B,0,0,0,0,0,0,0,0,0
MIR466,0,0,0,0,0,0,0,0,0
MIR4660,0,0,0,0,0,0,0,0,0
MIR4661,0,0,0,0,0,0,0,0,0
MIR4662A,0,0,0,0,0,0,0,0,0
MIR4662B,0,0,0,0,12,1,0,2,0
MIR4663,0,0,0,0,0,0,0,0,0
MIR4664,0,0,0,0,0,0,0,0,0
MIR4665,0,0,0,0,0,0,0,0,0
MIR4666A,0,0,0,0,0,0,0,0,0
MIR4666B,0,0,0,0,0,0,0,0,0
MIR4667,0,0,0,0,0,0,0,0,0
MIR4668,0,0,0,0,0,0,0,0,0
MIR4669,0,0,0,0,0,0,0,0,0
MIR4670,0,0,0,0,0,0,0,0,0
MIR4671,0,0,0,0,0,0,0,0,0
MIR4672,2,0,0,0,0,1,4,0,0
MIR4673,0,0,0,0,0,0,0,0,0
MIR4674,0,0,0,0,0,0,0,0,0
MIR4675,0,0,0,0,0,0,0,0,0
MIR4676,0,0,0,0,0,0,0,0,0
MIR4677,0,0,0,6,0,6,0,0,0
MIR4678,0,0,0,0,0,0,0,0,0
MIR4679-1,0,0,0,0,0,0,0,0,0
MIR4679-2,0,0,0,0,0,0,0,0,0
MIR4680,0,0,0,0,0,0,0,0,0
MIR4681,0,0,0,0,0,0,0,0,0
MIR4682,0,0,0,0,0,1,0,0,0
MIR4683,0,0,0,0,0,0,0,0,0
MIR4684,0,0,0,0,0,0,0,0,0
MIR4685,0,0,0,0,0,3,0,0,0
MIR4686,0,0,0,0,0,0,0,0,0
MIR4687,0,0,0,0,0,0,0,0,0
MIR4688,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0,0
MIR4690,0,0,0,0,0,0,0,0,0
MIR4691,0,0,1,0,0,1,0,0,0
MIR4692,1,0,0,0,0,0,0,0,0
MIR4693,0,0,0,0,0,0,0,0,0
MIR4694,0,0,0,0,6,3,0,0,0
MIR4695,0,0,0,0,0,0,0,0,0
MIR4696,5,2,9,27,49,66,74,27,53
MIR4697,0,0,0,0,0,0,0,0,0
MIR4697HG,0,0,0,0,0,0,0,0,0
MIR4698,0,0,0,0,0,0,0,0,5
MIR4699,0,0,0,0,0,0,0,0,0
MIR4700,0,0,0,0,0,0,0,0,0
MIR4701,0,0,0,0,0,0,0,0,0
MIR4703,0,0,0,0,0,1,0,0,0
MIR4704,0,0,0,0,0,0,0,0,0
MIR4705,0,0,0,0,0,0,0,0,0
MIR4706,0,0,1,0,0,0,0,0,0
MIR4707,0,0,0,0,0,0,0,0,0
MIR4708,0,0,0,0,0,0,0,0,0
MIR4709,0,0,0,0,0,0,0,0,0
MIR4710,0,0,0,0,0,0,0,0,0
MIR4711,0,0,0,0,0,0,0,0,3
MIR4712,0,0,0,0,0,0,0,0,0
MIR4713,1,2,1,1,21,12,22,2,14
MIR4713HG,0,0,1,0,0,8,16,0,0
MIR4714,0,0,0,0,0,0,0,0,0
MIR4715,0,0,0,0,0,0,0,0,0
MIR4716,0,2,0,0,0,3,0,0,0
MIR4717,0,0,0,0,0,1,3,4,1
MIR4718,0,0,0,0,0,0,0,0,0
MIR4719,0,0,0,0,0,0,0,0,0
MIR4720,0,0,0,0,1,1,0,0,0
MIR4721,0,0,0,0,0,0,0,0,0
MIR4722,0,0,0,0,0,0,0,0,0
MIR4723,0,0,0,0,0,0,0,0,0
MIR4724,0,0,0,0,0,0,0,0,0
MIR4725,0,0,0,0,0,0,0,0,0
MIR4726,0,0,0,0,0,0,0,0,0
MIR4727,0,0,0,0,0,0,0,0,0
MIR4728,0,0,0,0,0,0,0,0,0
MIR4729,0,0,0,0,0,0,0,0,0
MIR4730,0,0,0,0,0,2,7,1,8
MIR4731,0,0,0,0,0,0,0,0,0
MIR4732,0,0,0,0,0,0,0,0,0
MIR4733,0,0,0,0,0,0,0,13,1
MIR4734,0,0,0,0,0,0,0,0,0
MIR4735,0,0,0,0,0,0,0,0,0
MIR4736,0,0,0,0,0,1,0,6,3
MIR4737,0,0,0,0,0,0,0,0,0
MIR4738,0,0,0,0,0,0,0,0,0
MIR4739,0,0,0,0,0,0,0,0,0
MIR4740,0,0,0,0,0,0,0,0,0
MIR4741,0,0,0,0,0,0,0,0,0
MIR4742,0,0,0,0,0,0,0,0,0
MIR4743,0,0,0,0,3,0,0,0,0
MIR4744,0,0,0,0,0,0,0,0,0
MIR4745,0,0,0,0,0,0,0,0,0
MIR4746,0,0,0,6,4,0,0,9,0
MIR4747,0,0,0,0,0,0,0,0,0
MIR4748,0,0,0,0,0,2,12,0,6
MIR4749,0,1,0,18,12,4,1,3,1
MIR4750,0,0,0,0,0,0,0,0,0
MIR4751,0,0,0,0,0,0,0,0,0
MIR4752,0,0,0,0,0,0,0,0,0
MIR4753,5,0,0,0,0,2,0,16,0
MIR4754,0,0,1,0,0,1,5,2,0
MIR4755,0,1,3,0,0,3,14,0,2
MIR4756,0,0,0,0,0,1,0,0,0
MIR4757,0,0,0,0,0,0,0,0,0
MIR4758,0,0,0,0,0,0,0,0,0
MIR4759,0,0,0,0,0,0,0,0,0
MIR4760,0,0,0,0,0,0,0,0,0
MIR4761,0,0,0,0,7,3,10,0,1
MIR4762,0,0,0,0,0,0,0,0,0
MIR4763,0,0,0,0,0,0,0,0,0
MIR4764,0,0,0,0,0,0,0,0,0
MIR4765,0,0,0,0,1,4,2,0,17
MIR4766,0,0,0,0,0,0,0,0,3
MIR4767,0,0,0,0,0,0,0,0,0
MIR4768,0,0,0,0,0,1,0,0,3
MIR4769,0,0,0,0,0,0,0,0,0
MIR4770,0,0,0,0,0,0,0,0,0
MIR4771-1,0,0,0,0,0,0,0,0,0
MIR4771-2,0,0,0,0,0,0,0,0,0
MIR4772,0,1,0,0,0,2,0,0,0
MIR4773-1,0,0,0,0,0,0,0,0,0
MIR4773-2,0,0,0,0,0,0,0,0,0
MIR4774,0,0,0,0,0,0,0,0,0
MIR4775,0,0,0,0,0,0,0,0,0
MIR4776-1,0,0,0,0,0,0,0,0,0
MIR4776-2,0,0,0,0,0,0,0,0,0
MIR4777,0,0,0,0,0,0,0,0,0
MIR4778,0,0,0,0,7,0,0,0,0
MIR4779,0,0,0,0,0,2,0,0,0
MIR4780,0,0,0,0,0,0,0,0,0
MIR4781,0,0,0,0,0,0,0,0,0
MIR4782,0,0,0,0,0,0,0,0,0
MIR4783,0,0,0,0,0,0,0,0,0
MIR4784,0,0,0,0,0,0,0,0,0
MIR4785,0,0,0,0,0,11,0,5,0
MIR4786,0,0,0,0,0,0,0,0,0
MIR4787,0,0,0,0,0,0,0,0,0
MIR4788,0,0,0,0,0,0,0,0,0
MIR4789,0,0,0,0,0,0,0,0,0
MIR4790,1,1,0,6,5,8,10,0,0
MIR4791,0,0,0,0,0,0,0,0,0
MIR4793,0,0,0,0,0,0,0,0,0
MIR4794,0,0,0,0,0,0,0,0,0
MIR4795,0,0,0,0,0,0,0,0,0
MIR4796,0,0,0,9,6,3,2,0,20
MIR4797,0,0,0,0,0,0,0,0,0
MIR4798,0,0,0,0,0,0,0,0,0
MIR4799,0,0,0,0,0,0,0,0,0
MIR4800,0,0,0,0,0,0,0,0,0
MIR4801,0,0,0,0,0,0,0,0,0
MIR4802,0,0,0,0,0,3,0,0,4
MIR4803,1,3,0,36,7,28,8,1,0
MIR4804,1,0,2,32,2,13,12,0,21
MIR483,0,0,0,0,0,0,0,0,0
MIR484,0,0,0,0,0,0,0,0,0
MIR485,0,0,0,0,0,0,0,0,0
MIR486-1,0,0,0,0,0,0,0,0,0
MIR486-2,0,0,0,0,0,0,0,0,0
MIR487A,0,0,0,0,0,0,0,0,0
MIR487B,0,0,0,0,0,0,0,0,0
MIR488,0,0,0,0,0,0,0,0,0
MIR489,0,0,0,0,0,0,0,0,0
MIR490,0,0,0,0,0,0,0,0,0
MIR491,3,0,2,25,21,14,2,9,15
MIR492,0,0,0,0,0,0,0,0,0
MIR493,0,0,0,0,0,0,0,0,14
MIR494,0,0,0,0,0,0,0,0,0
MIR495,0,0,0,0,0,0,0,0,0
MIR496,0,0,0,0,0,0,0,0,0
MIR497,0,0,0,0,0,0,0,0,0
MIR497HG,0,0,0,0,0,0,0,0,0
MIR498,0,0,0,0,0,0,0,0,0
MIR4999,7,3,3,23,21,15,12,17,4
MIR499A,0,0,0,0,0,0,0,0,0
MIR499B,0,0,0,0,0,0,0,0,0
MIR5000,0,0,0,0,4,1,0,8,0
MIR5001,0,0,0,0,0,0,0,0,0
MIR5002,0,0,0,0,0,0,0,0,0
MIR5003,0,0,0,0,0,0,0,0,0
MIR5004,0,0,0,0,0,0,0,0,0
MIR5006,0,1,0,0,3,10,0,0,1
MIR5007,0,0,0,0,0,0,0,0,0
MIR5008,0,0,0,0,6,0,0,0,0
MIR5009,0,0,0,0,0,0,0,0,0
MIR500A,0,0,0,0,0,0,0,0,0
MIR500B,0,0,0,0,0,0,0,0,0
MIR501,0,0,0,0,0,0,0,0,0
MIR5010,0,0,0,0,0,11,0,0,4
MIR5011,0,0,0,0,0,0,0,0,0
MIR502,0,0,0,0,0,0,0,0,0
MIR503,0,0,0,0,0,0,0,0,0
MIR503HG,0,0,0,0,0,0,0,0,0
MIR504,0,0,0,0,0,0,0,0,0
MIR5047,0,1,0,0,13,10,2,0,0
MIR505,0,0,0,0,0,0,0,0,0
MIR506,0,0,0,0,0,0,0,0,0
MIR507,0,0,0,0,0,0,0,0,0
MIR508,0,0,0,0,0,0,0,0,0
