,5-AZA_150-1,5-AZA_150-2,5-AZA_150-3,5-AZA_33-1,5-AZA_33-2,5-AZA_33-3,5-AZA_con-1,5-AZA_con-2,5-AZA_con-3
EPS8L3,32,40,38,162,255,305,428,367,392
EPSTI1,10,14,22,120,148,212,101,119,111
EPX,0,0,0,10,0,5,0,5,6
EPYC,0,0,0,0,0,0,0,0,0
EQTN,0,1,0,18,2,5,2,11,5
ERAL1,1,0,1,0,28,8,38,11,7
ERAP1,0,0,0,3,4,1,4,17,0
ERAP2,0,0,0,0,4,1,19,31,0
ERAS,0,0,0,0,6,1,0,4,0
ERBB2,0,0,0,0,0,0,0,0,0
ERBB3,1,4,4,15,31,19,37,19,19
ERBB4,1,1,0,2,29,63,59,57,22
ERBIN,1,1,0,0,14,16,17,82,1
ERC1,13,0,12,37,62,69,47,70,90
ERC2,0,0,0,0,0,16,11,21,12
ERC2-IT1,0,0,0,0,0,1,0,0,0
ERCC1,0,4,6,54,46,15,37,51,9
ERCC2,42,54,38,344,456,314,367,373,190
ERCC3,0,0,0,0,0,0,0,0,0
ERCC4,0,0,0,0,0,0,0,0,0
ERCC5,0,0,0,0,0,0,0,0,0
ERCC6,5,5,3,9,41,49,3,19,35
ERCC6L,0,0,0,0,0,0,0,0,0
ERCC6L2,7,2,2,27,8,32,29,8,1
ERCC8,0,0,0,0,0,0,0,0,0
EREG,0,0,0,0,0,0,0,0,0
ERF,0,0,0,10,0,0,0,0,0
ERFE,0,0,0,0,0,0,0,0,0
ERFL,61,54,46,322,400,354,581,545,269
ERG,47,47,33,400,313,545,517,358,595
ERG28,0,0,0,0,1,0,0,0,0
ERGIC1,0,0,0,0,0,0,0,0,0
ERGIC2,0,1,7,37,44,86,61,41,40
ERGIC3,2,2,0,23,17,40,19,17,7
ERH,1,4,2,16,4,20,5,13,22
ERI1,2,1,1,13,18,28,38,36,71
ERI2,0,1,0,6,45,48,76,99,62
ERI3,1,0,1,0,0,5,1,4,10
ERI3-IT1,0,0,0,0,0,1,0,4,0
ERICH1,9,3,6,24,38,63,66,26,56
ERICH2,22,7,8,70,77,142,150,78,118
ERICH3,2,0,7,12,23,40,18,24,55
ERICH3-AS1,0,1,0,0,0,1,0,12,0
ERICH4,0,0,0,0,0,0,0,0,0
ERICH5,0,4,0,0,0,0,0,0,0
ERICH6,1,0,0,12,0,6,6,5,9
ERICH6-AS1,0,0,0,0,0,0,0,0,0
ERICH6B,7,7,20,118,120,234,146,96,123
ERLEC1,0,1,0,0,0,2,3,0,5
ERLIN1,7,7,18,184,210,128,139,187,115
ERLIN2,15,21,33,204,418,418,365,329,189
ERLNC1,0,0,0,0,0,0,0,0,0
ERMAP,0,0,0,0,0,0,0,0,0
ERMARD,0,0,0,0,0,0,0,0,0
ERMN,0,0,1,15,7,28,8,6,37
ERMP1,920,809,830,8771,9991,13041,14001,12339,12455
ERN1,0,0,0,0,0,0,0,0,0
ERN2,93,101,102,874,987,855,1401,1032,861
ERO1A,0,0,1,0,0,0,0,0,0
ERO1B,0,0,0,0,0,0,0,0,2
ERP27,9,10,6,135,155,240,232,265,212
ERP29,1,0,0,1,10,12,3,28,0
ERP44,2,0,0,10,9,22,29,15,55
ERRFI1,0,0,0,0,0,0,0,0,0
ERV3-1,0,0,0,0,0,0,0,0,0
ERV3-1-ZNF117,0,0,0,0,0,0,0,0,0
ERVFRD-1,9,0,8,46,23,46,76,23,102
ERVH48-1,0,0,0,0,0,0,0,0,0
ERVK13-1,16,16,15,218,148,219,353,209,171
ERVK3-1,0,0,1,0,0,2,4,0,0
ERVMER34-1,19,15,29,254,284,280,327,292,233
ERVV-1,45,27,17,178,212,272,447,373,343
ERVV-2,15,10,11,43,69,56,41,30,77
ERVW-1,1,2,0,0,0,22,26,9,1
ESAM,1,2,0,15,5,2,0,0,0
ESCO1,92,103,94,349,336,355,277,273,188
ESCO2,0,0,0,0,0,0,0,0,0
ESD,0,0,0,0,0,0,0,0,0
ESF1,23,20,25,144,172,301,198,224,185
ESM1,7,0,2,9,10,66,11,22,30
ESPL1,3608,4917,3466,26889,26479,27202,22854,18842,13177
ESPN,2,14,7,7,9,40,52,30,21
ESPNL,0,0,0,0,0,1,0,0,1
ESPNP,41,61,44,338,229,204,282,287,170
ESR1,0,0,0,0,2,1,2,24,2
ESR2,2,0,1,27,23,15,20,5,8
ESRG,0,0,0,0,0,0,0,0,0
ESRP1,0,0,0,0,0,0,10,0,0
ESRP2,7,4,9,33,71,45,28,31,48
ESRRA,0,0,0,0,0,0,0,0,0
ESRRB,1,0,0,6,29,31,16,10,32
ESRRG,0,0,0,0,6,1,0,0,0
ESS2,13,3,4,104,48,58,66,48,27
ESX1,0,0,0,0,0,0,0,0,0
ESYT1,9,7,17,59,144,101,129,83,56
ESYT2,1,3,8,37,52,70,61,33,76
ESYT3,4,17,11,44,43,129,111,103,128
ETAA1,0,1,0,0,0,0,0,0,5
ETDA,0,0,0,0,0,0,0,0,0
ETDB,0,0,0,0,0,0,0,0,0
ETDC,0,0,0,0,0,1,0,25,7
ETF1,0,1,1,44,3,20,9,16,18
ETFA,20,9,12,54,104,88,89,57,86
ETFB,0,0,0,0,0,0,0,0,0
ETFBKMT,11,5,8,43,21,91,28,51,57
ETFDH,0,0,0,0,0,0,0,0,0
ETFRF1,0,0,0,0,0,0,0,0,0
ETHE1,0,0,0,0,0,0,0,0,0
ETNK1,7,5,11,94,144,166,191,159,166
ETNK2,0,4,0,0,7,4,3,2,0
ETNPPL,10,1,5,17,21,22,22,25,18
ETS1,0,0,0,0,0,0,0,0,0
ETS1-AS1,0,0,0,0,0,0,0,0,0
ETS2,13,7,14,70,113,118,115,138,74
ETV1,5,8,5,36,53,65,37,35,65
ETV2,0,0,2,0,3,2,0,7,0
ETV3,0,0,0,0,0,0,0,0,0
ETV3L,59,25,33,250,376,389,357,345,201
ETV4,55,51,34,153,341,266,254,238,225
ETV5,0,0,0,0,0,0,0,0,0
ETV6,17,4,4,63,20,92,28,71,31
ETV7,0,4,0,13,22,11,7,0,4
EVA1A,0,0,0,0,0,1,0,0,0
EVA1B,6,18,7,7,48,136,90,102,134
EVA1C,1,1,1,0,6,17,17,11,8
EVADR,0,0,0,4,0,9,0,0,0
EVC,0,0,0,0,0,0,0,0,0
EVC2,0,0,0,0,0,0,0,0,0
EVI2A,0,0,0,0,0,0,0,0,0
EVI2B,0,0,0,0,0,0,0,0,0
EVI5,2,0,2,2,47,37,14,31,13
EVI5L,0,0,1,0,0,7,0,0,0
EVL,4,2,6,6,5,60,30,33,26
EVPL,3,1,1,0,23,28,30,38,19
EVPLL,0,0,1,0,0,0,0,6,0
EVX1,12,19,17,194,117,252,125,179,150
EVX1-AS,4,2,6,32,83,24,49,18,73
EVX2,0,0,0,0,0,0,0,0,0
EWSAT1,5,1,1,19,23,63,60,24,36
EWSR1,8,4,6,45,92,140,132,238,85
EXD1,37,77,60,217,264,183,261,233,226
EXD2,4,6,0,0,6,4,4,0,0
EXD3,5,11,8,84,156,127,70,122,54
EXO1,0,0,0,0,0,0,0,0,0
EXO5,10,11,19,61,112,66,105,131,129
EXOC1,0,0,0,0,0,0,0,0,0
EXOC1L,0,0,0,0,0,0,0,0,0
EXOC2,413,331,329,2832,2783,3573,3405,2725,2702
EXOC3,316,404,283,2409,2278,2401,3264,2789,1910
EXOC3-AS1,15,19,3,89,129,133,165,92,93
EXOC3L1,36,29,10,160,201,196,260,213,113
EXOC3L2,1,2,3,28,66,23,32,31,10
EXOC3L4,6,1,11,9,46,41,21,10,6
