"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"ATAD3C",366.626131448868,1.20828710985387,0.22439254309804,5.38470259827644,7.2564528411424e-08,1.0351571859651e-05,"ATAD3C"
"TRIM42",119.598396338953,-1.75687931787234,0.328215465093191,-5.35282308337759,8.65925027345473e-08,1.21901735099595e-05,"TRIM42"
"CHRNA2",185.551768512364,-1.44411580109773,0.270788839906364,-5.33299600381274,9.66054384128281e-08,1.342313747505e-05,"CHRNA2"
"FLG-AS1",8.88520730277969,8.21145305073091,1.54409672960725,5.31796544431486,1.04933991146236e-07,1.43934457855587e-05,"FLG-AS1"
"SMIM24",70.2499912950246,-2.45487393440634,0.462219387632368,-5.31105790906126,1.08990688036701e-07,1.47606502696793e-05,"SMIM24"
"JAG2",191.653158878004,1.37705711382429,0.259593812949474,5.30466076282149,1.12882723068066e-07,1.50966531763155e-05,"JAG2"
"LDB1",864.726773090734,-1.02878530516847,0.194048844774656,-5.30168219431131,1.14740458406107e-07,1.51556563516906e-05,"LDB1"
"THOP1",1043.77776239093,0.971742926805741,0.18362359905853,5.29203725331622,1.20961243609497e-07,1.5782492016805e-05,"THOP1"
"GNA15",9.75777199967429,8.3500887005922,1.58327048007641,5.27394959084263,1.33518595855438e-07,1.72110296031004e-05,"GNA15"
"SP7",424.190713728829,1.19110850843036,0.225953850973711,5.27146805994887,1.35336842344317e-07,1.72377247171649e-05,"SP7"
"ZBTB1",388.179634826788,-1.31162379554547,0.249442297816848,-5.25822527704792,1.45452271814168e-07,1.83081630134092e-05,"ZBTB1"
"HCG4B",44.4423268240368,3.15302197424913,0.600494053416874,5.25071306919378,1.51511533986561e-07,1.88490918851421e-05,"HCG4B"
"DDC",75.3234445976901,-2.24177251257176,0.427345809142003,-5.24580436876786,1.55601944323353e-07,1.9090173558626e-05,"DDC"
"POGLUT2",8.30948123471623,8.11778537419526,1.54797440671838,5.2441341012895,1.57017971133665e-07,1.9090173558626e-05,"POGLUT2"
"PCDHB15",502.145692422137,0.881980478135553,0.168921142171778,5.22125571018608,1.77713948085544e-07,2.13636127030027e-05,"PCDHB15"
"HDHD2",70.114290085886,-2.23745108034699,0.429895617001045,-5.20463803738095,1.94375096305203e-07,2.31068795041041e-05,"HDHD2"
"SLC9A4",294.323722820693,1.02564019647803,0.198500457518805,5.16694122168895,2.37956054255856e-07,2.79768332360814e-05,"SLC9A4"
"GNA11",705.705528126979,0.961443216882689,0.186504129006954,5.15507738087044,2.53526213737268e-07,2.94834452258156e-05,"GNA11"
"UNC5CL",269.35609429806,-1.17021164327645,0.227613288583754,-5.14122725679897,2.72949663362359e-07,3.14009510571385e-05,"UNC5CL"
"ZNF205",124.188475586286,1.50915299929698,0.294159711837758,5.13038644846559,2.89147942557444e-07,3.29105727385329e-05,"ZNF205"
"SLX4IP",584.161081280806,0.994336264985804,0.194630977034278,5.10882841024162,3.2416257236501e-07,3.65075301235078e-05,"SLX4IP"
"TECPR2",1307.09758873759,0.743245102661582,0.145648933692308,5.10299034685507,3.34328062328394e-07,3.7260166029703e-05,"TECPR2"
"PSMD2",66.6665884647201,1.90659098321141,0.373879997160851,5.09947308679141,3.40600291897726e-07,3.75678610619976e-05,"PSMD2"
"SHB",875.056837751732,0.805614198347116,0.158083956896843,5.09611610286816,3.46692551219637e-07,3.76368369491753e-05,"SHB"
"TMEM33",1207.44725125348,0.722530734324999,0.141804461493105,5.09526094395931,3.48261226092939e-07,3.76368369491753e-05,"TMEM33"
"AIF1L",139.333316223004,1.55897206975019,0.306520684847839,5.08602566421932,3.65644596473135e-07,3.91203153766607e-05,"AIF1L"
"NR1D2",461.795634918753,-1.01323087592666,0.201108973098636,-5.03821813773425,4.69885743342372e-07,4.97753224556439e-05,"NR1D2"
"SH3YL1",3252.31347097643,-0.637056841955353,0.126671216127316,-5.02921548740049,4.92490671322947e-07,5.16584087498452e-05,"SH3YL1"
"HRNR",20.177999375025,4.04384629074401,0.805714376874755,5.0189575944139,5.19526153471211e-07,5.39651486989174e-05,"HRNR"
